revision, size, dirs, files
0, 58870, 7, 34
1, 58895, 7, 34
2, 69191, 7, 37
3, 69181, 7, 37
4, 53573, 7, 36
5, 53942, 7, 36
6, 55497, 7, 36
7, 59288, 7, 38
8, 99284, 8, 41
9, 102627, 8, 41
10, 102628, 8, 41
11, 105930, 9, 43
12, 107623, 9, 43
13, 110991, 10, 46
14, 116372, 10, 48
15, 256055, 12, 65
16, 257198, 12, 65
17, 257276, 12, 68
18, 258293, 12, 70
19, 262371, 12, 73
20, 264555, 12, 75
21, 265031, 12, 75
22, 264912, 12, 74
23, 265595, 12, 74
24, 266860, 12, 74
25, 267418, 12, 74
26, 289647, 13, 78
27, 289649, 13, 78
28, 320652, 13, 115
29, 321416, 13, 115
30, 322581, 13, 115
31, 322931, 13, 115
32, 324167, 13, 116
33, 325234, 13, 116
34, 325721, 13, 116
35, 328110, 13, 116
36, 328877, 13, 116
37, 329552, 13, 116
38, 330001, 13, 116
39, 330543, 13, 117
40, 331343, 13, 117
41, 331383, 13, 117
42, 331407, 13, 117
43, 332409, 13, 118
44, 338344, 13, 119
45, 325779, 13, 119
46, 325780, 13, 119
47, 328420, 15, 121
48, 327970, 15, 121
49, 328070, 15, 121
50, 334441, 15, 121
51, 344224, 16, 141
52, 345936, 16, 142
53, 346659, 16, 142
54, 346840, 16, 142
55, 346854, 16, 142
56, 347102, 16, 142
57, 347268, 16, 142
58, 366341, 16, 156
59, 366606, 16, 156
60, 380167, 16, 157
61, 381168, 16, 157
62, 384720, 16, 159
63, 386191, 16, 159
64, 389137, 16, 161
65, 388979, 16, 161
66, 390542, 16, 161
67, 393169, 16, 162
68, 393739, 16, 163
69, 394027, 16, 163
70, 394425, 16, 163
71, 395937, 16, 164
72, 396329, 16, 165
73, 400767, 16, 166
74, 400960, 16, 166
75, 401045, 16, 166
76, 401832, 16, 166
77, 403684, 16, 166
78, 403680, 16, 166
79, 553892, 16, 167
80, 565981, 18, 168
81, 568045, 18, 168
82, 574815, 18, 170
83, 583385, 19, 178
84, 583400, 19, 178
85, 584031, 19, 178
86, 584170, 19, 178
87, 586039, 19, 178
88, 592359, 19, 178
89, 599490, 19, 178
90, 599171, 19, 178
91, 598790, 19, 178
92, 600302, 19, 178
93, 601771, 19, 178
94, 601710, 19, 178
95, 604312, 19, 178
96, 605726, 19, 178
97, 611160, 19, 178
98, 615435, 19, 178
99, 615655, 19, 178
100, 624391, 19, 178
101, 631321, 19, 179
102, 632174, 19, 179
103, 636718, 19, 179
